--------- beginning of /dev/log/main
09-15 14:27:05.650  3041  3041 D dalvikvm: DexOpt: couldn't find static field Landroid/graphics/Bitmap$Config;.RGBA_F16
09-15 14:27:05.680  3041  3041 D dalvikvm: DexOpt: couldn't find static field Landroid/graphics/Bitmap$Config;.RGBA_F16
09-15 14:27:05.920  3041  3041 W dalvikvm: DexOpt: method is in an interface
09-15 14:27:05.960  3041  3041 D dalvikvm: DexOpt: couldn't find field Landroid/content/res/Configuration;.fontWeightAdjustment
09-15 14:27:06.760  3041  3041 D dalvikvm: DexOpt: load 349ms, verify+opt 1482ms, 5573668 bytes
09-15 14:27:07.340  3023  3023 D dalvikvm: DexOpt: --- END 'com.andrerinas.headunitrevived-2.apk.classes3.zip' (success) ---
09-15 14:27:07.340  3023  3023 D dalvikvm: DEX prep '/data/data/com.andrerinas.headunitrevived/code_cache/secondary-dexes/com.andrerinas.headunitrevived-2.apk.classes3.zip': unzip in 238ms, rewrite 2951ms
09-15 14:27:07.350  3023  3023 D dalvikvm: DexOpt: --- BEGIN 'com.andrerinas.headunitrevived-2.apk.classes4.zip' (bootstrap=0) ---
09-15 14:27:07.520  3042  3042 D dalvikvm: DexOpt: load 14ms, verify+opt 102ms, 530924 bytes
09-15 14:27:07.550  3023  3023 D dalvikvm: DexOpt: --- END 'com.andrerinas.headunitrevived-2.apk.classes4.zip' (success) ---
09-15 14:27:07.550  3023  3023 D dalvikvm: DEX prep '/data/data/com.andrerinas.headunitrevived/code_cache/secondary-dexes/com.andrerinas.headunitrevived-2.apk.classes4.zip': unzip in 13ms, rewrite 201ms
09-15 14:27:07.560  3023  3023 I MultiDex: install done
09-15 14:27:07.560  3023  3023 I dalvikvm: Could not find method android.os.Trace.isEnabled, referenced from method androidx.tracing.Trace.isEnabled
09-15 14:27:07.560  3023  3023 W dalvikvm: VFY: unable to resolve static method 2476: Landroid/os/Trace;.isEnabled ()Z
09-15 14:27:07.560  3023  3023 D dalvikvm: VFY: replacing opcode 0x71 at 0x0004
09-15 14:27:07.600  3023  3027 D dalvikvm: GC_CONCURRENT freed 267K, 8% free 5695K/6148K, paused 2ms+11ms, total 29ms
09-15 14:27:07.610  3023  3023 W dalvikvm: Unable to resolve superclass of Lorg/conscrypt/TrustManagerImpl; (305)
09-15 14:27:07.610  3023  3023 W dalvikvm: Link of class 'Lorg/conscrypt/TrustManagerImpl;' failed
09-15 14:27:07.610  3023  3023 I dalvikvm: Could not find method org.conscrypt.TrustManagerImpl.getDefaultHostnameVerifier, referenced from method org.conscrypt.Conscrypt.getDefaultHostnameVerifier
09-15 14:27:07.610  3023  3023 W dalvikvm: VFY: unable to resolve static method 3571: Lorg/conscrypt/TrustManagerImpl;.getDefaultHostnameVerifier ()Lorg/conscrypt/ConscryptHostnameVerifier;
09-15 14:27:07.610  3023  3023 D dalvikvm: VFY: replacing opcode 0x71 at 0x0003
09-15 14:27:07.610  3023  3023 W dalvikvm: Unable to resolve superclass of Lorg/conscrypt/TrustManagerImpl; (305)
09-15 14:27:07.620  3023  3023 W dalvikvm: Link of class 'Lorg/conscrypt/TrustManagerImpl;' failed
09-15 14:27:07.620  3023  3023 W dalvikvm: VFY: unable to find class referenced in signature (Lorg/conscrypt/TrustManagerImpl;)
09-15 14:27:07.620  3023  3023 W dalvikvm: Unable to resolve superclass of Lorg/conscrypt/TrustManagerImpl; (305)
